"orderID","customerID","employeeID","orderDate","requiredDate","shippedDate","shipVia","freight","shipName","shipAddress","shipCity","shipRegion","shipPostalCode","shipCountry"
"10248","WILMK","5","35250","35278","35262","3","32.38","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","","51100","France"
"10249","TRADH","6","35251","35293","35256","1","11.61","Toms Spezialitäten","Luisenstr. 48","Münster","","44087","Germany"
"10250","HANAR","4","35254","35282","35258","2","65.83","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil"
"10251","VICTE","3","35254","35282","35261","1","41.34","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"10252","SUPRD","4","35255","35283","35257","2","51.3","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgium"
"10253","HANAR","3","35256","35270","35262","2","58.17","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil"
"10254","CHOPS","5","35257","35285","35269","2","22.98","Chop-suey Chinese","Hauptstr. 31","Bern","","3012","Switzerland"
"10255","RICSU","9","35258","35286","35261","3","148.33","Richter Supermarkt","Starenweg 5","Genève","","1204","Switzerland"
"10256","WELLI","3","35261","35289","35263","2","13.97","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brazil"
"10257","HILAA","4","35262","35290","35268","3","81.91","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10258","ERNSH","1","35263","35291","35269","1","140.51","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"10259","CENTC","4","35264","35292","35271","3","3.25","Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.","","05022","Mexico"
"10260","OLDWO","4","35265","35293","35275","1","55.09","Ottilies Käseladen","Mehrheimerstr. 369","Köln","","50739","Germany"
"10261","QUEDE","4","35265","35293","35276","2","3.05","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil"
"10262","RATTC","8","35268","35296","35271","3","48.29","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10263","ERNSH","9","35269","35297","35277","3","146.06","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"10264","FOLKO","6","35270","35298","35300","3","3.67","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Sweden"
"10265","BLONP","2","35271","35299","35289","1","55.28","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10266","WARTH","3","35272","35314","35277","3","25.73","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"10267","FRANK","4","35275","35303","35283","1","208.58","Frankenversand","Berliner Platz 43","München","","80805","Germany"
"10268","GROSR","8","35276","35304","35279","3","66.29000000000001","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","DF","1081","Venezuela"
"10269","WHITC","5","35277","35291","35286","1","4.56","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
"10270","WARTH","1","35278","35306","35279","1","136.54","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"10271","SPLIR","6","35278","35306","35307","2","4.54","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"10272","RATTC","6","35279","35307","35283","2","98.03","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10273","QUICK","3","35282","35310","35289","3","76.06999999999999","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"10274","VINET","6","35283","35311","35293","1","6.01","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","","51100","France"
"10275","MAGAA","1","35284","35312","35286","1","26.93","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italy"
"10276","TORTU","8","35285","35299","35291","3","13.84","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico"
"10277","MORGK","2","35286","35314","35290","3","125.77","Morgenstern Gesundkost","Heerstr. 22","Leipzig","","04179","Germany"
"10278","BERGS","8","35289","35317","35293","2","92.69","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden"
"10279","LEHMS","8","35290","35318","35293","2","25.83","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"10280","BERGS","2","35291","35319","35320","1","8.98","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden"
"10281","ROMEY","4","35291","35305","35298","1","2.94","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain"
"10282","ROMEY","4","35292","35320","35298","1","12.69","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain"
